grip 1 3_5 
got 1 25_45 
ground 1 25_72 
gives 1 16_31 
girls 1 27_88 
small 1 14_124 
happened 1 27_168 
hands 1 23_115 
skillwhenever 1 12_81 
groups 1 12_178 
slightly 1 34_66 
slaughtering 1 27_6 
game 1 5_68 
future 1 36_97 
games 1 23_51 
from 1 34_68 
found 1 25_58 
fu 1 9_4 
someone 1 27_95 
general 1 14_75 
girl 1 27_135 
gang 1 12_152 
gates 1 5_78 
imagine 1 12_170 
icon 1 12_95 
immediately 1 5_39 
several 1 12_157 
hotkey 1 16_85 
setting 1 5_121 
inclined 1 27_198 
incarnation 1 5_48 
incredibly 1 14_61 
impossible 1 23_134 
impenetrable 1 14_40 
seemed 1 27_158 
help 1 34_39 
heart 1 12_94 
her 1 27_70 
since 1 25_37 
single 1 12_91 
silhouette 1 5_57 
hit 1 23_140 
shouldnt 1 25_32 
hop 1 5_15 
hidden 1 27_31 
shows 1 16_52 
even 1 27_39 
stops 1 23_146 
still 1 5_50 
engaging 1 12_177 
enemys 1 12_99 
equipment 1 27_27 
started 1 23_3 
exists 1 5_61 
explodes 1 12_119 
state 1 12_166 
stats 1 16_42 
executed 1 25_62 
drugged 1 27_101 
drop 1 16_82 
dune 1 23_119 
drag 1 16_80 
strongest 1 12_208 
drain 1 12_74 
ended 1 36_5 
strategy 1 23_96 
strategic 1 36_20 
effective 1 23_95 
strength 1 16_44 
spins 1 23_124 
spirits 1 34_50 
spinning 1 23_147 
fight 1 14_152 
spoke 1 27_128 
finally 1 25_50 
sort 1 34_47 
spells 1 14_72 
forcing 1 34_117 
flavors 1 23_66 
floating 1 23_128 
fact 1 5_109 
facing 1 14_88 
fall 1 25_69 
squidlike 1 23_121 
standing 1 5_74 
extremities 1 23_126 
features 1 16_40 
favorite 1 14_36 
female 1 5_47 
fallen 1 23_45 
fast 1 14_161 
need 1 14_85 
radiant 1 14_9 
new 1 3_8 
must 1 5_96 
radius 1 14_17 
named 1 27_96 
quick 1 12_158 
normal 1 12_165 
noticed 1 5_40 
niece 1 27_142 
nice 1 12_28 
nonplayer 1 5_90 
result 1 16_67 
middle 1 25_114 
mixture 1 12_29 
meleefocused 1 36_25 
means 1 12_102 
members 1 25_109 
ran 1 34_111 
ranged 1 12_141 
move 1 14_21 
regular 1 23_67 
reflect 1 14_50 
point 1 12_48 
otherwise 1 14_148 
pm 1 2_6 
poster 1 25_15 
or 1 23_31 
others 1 12_18 
perhaps 1 14_33 
playtime 1 36_4 
perform 1 12_156 
overrun 1 5_115 
over 1 12_97 
own 1 23_89 
proper 1 5_67 
often 1 36_61 
once 1 12_24 
quests 1 16_61 
now 1 5_114 
offer 1 36_16 
opening 1 5_8 
open 1 5_86 
options 1 36_21 
prior 1 5_36 
previous 1 23_50 
lands 1 12_84 
kungfu 1 3_4 
large 1 14_142 
know 1 27_139 
kind 1 27_64 
kung 1 9_3 
least 1 23_106 
leads 1 5_83 
led 1 27_106 
later 1 27_148 
last 1 27_161 
running 1 23_80 
interface 1 16_91 
see 1 36_72 
itself 1 34_96 
inside 1 5_75 
inner 1 14_105 
interested 1 36_70 
sacrifice 1 27_67 
